HEPES,HEPES_pH8.0,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH7.2,HEPES_pH7.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,yield,yield_std
100,0,0,0,0,1,0,20,20,60,10,0.5,0,1,1.25,0.095675,2.15845,3.7225,0.91245,0.871825,1.656,2.5452,0.533925,1.44125,13.6885,0.8508,8.358,4.10325,5.824,0.083375,2.485575,0.39216,173.7411,7.086083192
175,0,0,1,0,0,0,12.5,2.5,80,10,0.25,0.4,4,1.25,0.095675,3.0835,2.978,0.456225,6.9746,0.552,19.998,0.533925,0.28825,84.8687,2.5524,8.358,2.46195,2.912,0.116725,0.828525,3.5294,112.11022,18.84302745
100,0,0,1,0,0,0,15,40,2.5,60,0.25,0.1,7,5,0.95675,2.15845,4.467,0.30415,6.9746,2.208,3.636,5.33925,1.153,1.36885,1.418,8.358,6.5652,53.872,0.083375,0.828525,1.96078,33.08221,9.771333367
50,0,0,0,1,0,0,2.5,10,80,20,4,0.1,3,7.5,0.669725,2.77515,2.978,1.52075,0.871825,1.656,8.3628,3.20355,0.86475,46.5409,0.2836,14.726,8.2065,7.28,0.0667,2.2094,2.74509,115.5472333,16.7581148
100,1,0,0,0,0,0,12.5,0,2.5,20,5,0.4,10,2.5,0.3827,2.77515,5.2115,1.52075,13.077375,1.104,19.998,2.669625,0.28825,4.10655,1.7016,1.592,2.46195,13.104,0.016675,2.2094,1.56862,65.55911667,9.701321952
200,0,1,0,0,0,0,7.5,60,20,10,0.25,0.2,2,7.5,0.95675,1.8501,3.7225,0.152075,6.9746,2.208,3.636,0.533925,1.153,62.9671,1.418,1.592,0.82065,5.824,0.116725,0.55235,3.5294,687.757,186.8590553
50,0,1,0,0,0,0,0,2.5,100,2.5,0.5,0.1,4,2.5,9.5675,0.6167,4.467,0.30415,17.4365,3.312,0.7272,2.1357,0.5765,2.7377,2.2688,4.776,6.5652,2.912,0.016675,0.828525,2.35294,69.59211,8.73597255
125,1,0,0,0,0,0,5,2.5,10,80,0.5,0.1,5,10,0.669725,1.2334,0.7445,1.52075,17.4365,4.416,19.998,2.669625,1.7295,26.00815,2.2688,0.398,5.74455,40.768,0.083375,2.2094,1.56862,188.4887667,29.50615589
200,0,0,0,0,1,0,7.5,80,20,20,0.25,0,9,6.25,7.175625,0.92505,4.467,2.889425,17.4365,0.552,0.3636,0.533925,2.8825,5.4754,0.8508,2.786,6.5652,1.456,0.016675,0.828525,1.17647,94.99582667,29.796099
100,0,0,0,0,1,0,22.5,20,40,40,0.5,1,6,10,0.478375,1.2334,2.978,1.52075,17.4365,3.312,1.4544,1.601775,2.306,9.58195,0.8508,0.398,2.46195,1.456,0.050025,1.1047,1.96078,158.8867333,46.83189122
150,0,0,0,0,1,0,15,5,40,100,5,0.4,3,1.25,0.3827,0.6167,6.7005,0.30415,17.4365,0.552,6.1812,3.20355,1.7295,9.58195,1.9852,2.786,1.6413,23.296,0.050025,1.380875,1.96078,113.4593667,20.13351606
175,0,0,0,0,0,1,12.5,20,5,0,5,0.6,4,10,4.01835,2.4668,1.489,2.12905,5.23095,2.208,1.4544,2.1357,0.5765,46.5409,2.2688,1.592,4.9239,30.576,0.16675,1.380875,2.74509,312.9240333,71.70347518
100,0,0,0,1,0,0,12.5,60,10,10,2,0.8,1,7.5,1.72215,3.0835,2.2335,0.6083,5.23095,2.76,0.7272,2.669625,2.01775,1.36885,2.2688,14.726,1.6413,2.912,0.1334,1.380875,3.13725,42.89537333,10.32758464
25,1,0,0,0,0,0,15,60,2.5,10,0.25,0.1,3,2.5,0.287025,2.77515,5.2115,1.2166,0.871825,2.76,0.7272,3.737475,2.59425,19.1639,1.1344,8.358,7.38585,7.28,0.083375,1.933225,2.35294,253.4573667,51.29625497
50,0,0,0,1,0,0,2.5,80,5,40,0,0.2,8,7.5,0.3827,1.54175,2.978,2.889425,3.4873,1.656,14.9076,3.20355,1.7295,46.5409,0.8508,14.726,4.9239,5.824,0.10005,0.828525,2.74509,303.3006667,4.741289819
50,0,0,0,0,0,1,15,5,5,2.5,2,0.2,6,8.75,4.01835,0.6167,4.467,0.456225,5.23095,4.416,19.998,3.20355,2.01775,13.6885,0.2836,8.358,1.6413,13.104,0.150075,1.65705,3.5294,73.13297,22.91664625
100,0,0,0,1,0,0,0,2.5,20,20,1,0.2,2,7.5,3.0616,3.0835,0.7445,0.6083,1.74365,2.208,6.1812,4.805325,2.306,1.36885,2.2688,2.786,2.46195,53.872,0.1334,0.828525,0.78431,131.6272667,28.19004427
125,0,1,0,0,0,0,15,10,80,100,0.25,0.6,5,3.75,0.095675,2.4668,5.956,1.52075,6.9746,1.656,6.1812,3.20355,2.306,5.4754,1.418,4.776,8.2065,53.872,0.10005,1.380875,0.78431,65.18581,22.19933155
