HEPES,HEPES_pH7.0,HEPES_pH7.2,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH8.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,Value_1,Value_2,Value_3,yield,yield_std
150,0,0,0,0,0,1,10,0,10,20,1,0.1,3,2.5,3.0616,1.2334,5.956,0.91245,9.590075,4.968,21.890925,1.4544,2.01775,46.5409,0.5672,0.796,1.6413,40.768,0.016675,4.142625,3.1372,617.3140038,440.7880427,490.6771375,516.259728,91.00112875
50,0,0,0,0,1,0,5,2.5,10,5,0.5,0.1,1,1.25,5.3578,2.15845,5.956,1.2166,6.9746,1.656,16.551675,2.1816,0.86475,46.5409,1.9852,19.9,3.2826,13.104,0.016675,5.247325,1.96075,780.9014794,825.8509533,852.5033455,819.751926,36.18847066
50,0,0,0,0,1,0,17.5,10,5,20,4,0.1,5,5,3.0616,1.54175,3.7225,0.91245,13.077375,4.416,12.280275,1.818,2.8825,34.22125,1.9852,1.592,4.9239,23.296,0.03335,3.590275,0.7843,365.0083498,334.458204,362.6196291,354.0287276,16.9906016
200,0,0,0,0,0,1,5,10,2.5,40,0.4,0,5,1.25,5.3578,0.92505,2.978,2.12905,13.077375,4.416,21.890925,1.0908,2.8825,26.00815,0.2836,1.99,2.46195,4.368,0.16675,3.86645,2.3529,764.0823922,760.7998736,706.3234831,743.7352496,32.44108411
175,0,0,0,0,1,0,5,0,5,10,0.2,0,10,10,3.0616,1.8501,5.956,1.52075,9.590075,3.312,9.076725,1.4544,2.59425,62.9671,2.5524,1.99,1.6413,23.296,0.0667,3.590275,0.7843,1367.912713,1244.321504,1218.001809,1276.745342,80.04248099
100,0,0,0,0,0,1,17.5,20,10,2.5,1,0,9,6.25,5.3578,0.30835,2.2335,0.152075,3.4873,4.416,1.601775,1.818,2.8825,62.9671,1.9852,14.726,4.9239,72.8,0.1334,4.4188,0.7843,711.2901244,773.2538929,726.8559693,737.1333289,32.23500025
150,0,1,0,0,0,0,5,2.5,20,2.5,0.2,0,6,10,4.01835,0.92505,3.7225,0.91245,9.590075,2.76,12.280275,3.2724,2.306,34.22125,1.7016,11.144,0.82065,4.368,0.116725,4.97115,2.3529,1372.239353,1390.962662,1427.883724,1397.02858,28.31378675
175,0,0,1,0,0,0,15,2.5,20,2.5,0.4,0.1,4,8.75,3.0616,1.54175,4.467,1.52075,2.615475,3.312,9.076725,1.4544,2.59425,84.8687,2.5524,19.9,4.9239,4.368,0.10005,3.037925,2.3529,1154.291081,1204.553587,1201.435457,1186.760042,28.16213287
150,0,1,0,0,0,0,7.5,10,10,10,1,0,7,8.75,9.5675,2.15845,6.7005,0.91245,6.9746,0.552,0.533925,2.9088,2.59425,34.22125,0.8508,1.592,2.46195,30.576,0.016675,1.933225,0.39215,828.2800454,844.1642675,772.4307191,814.958344,37.67660132
75,0,0,0,1,0,0,12.5,10,40,80,0.5,0.1,9,3.75,9.5675,2.15845,5.2115,0.30415,6.9746,4.968,0.533925,1.818,2.59425,26.00815,2.836,0.796,0.82065,13.104,0.116725,3.590275,0.39215,1190.272415,775.9642836,622.352179,862.8629591,293.7633118
75,0,0,1,0,0,0,7.5,20,40,20,0.5,0,9,7.5,7.175625,0.6167,5.956,2.889425,6.9746,4.968,1.601775,1.818,2.59425,26.00815,1.9852,3.582,3.2826,23.296,0.0667,4.694975,1.5686,1944.544658,1663.81901,1597.502849,1735.288839,184.2293587
100,0,0,0,0,1,0,2.5,5,20,20,0.3,0.1,9,2.5,2.2962,0.30835,0.7445,1.52075,3.4873,3.864,2.669625,1.0908,0.5765,84.8687,1.9852,14.726,4.10325,13.104,0.050025,3.86645,2.3529,1557.818505,1698.265236,1873.281177,1709.788306,158.0467027
125,0,0,1,0,0,0,2.5,20,10,20,0.3,0.1,1,8.75,3.0616,1.8501,2.978,0.6083,9.590075,4.416,12.280275,1.4544,1.44125,26.00815,2.2688,14.726,2.46195,30.576,0.03335,2.76175,2.74505,1419.250407,1090.767996,1351.09109,1287.036497,173.3563287
75,0,0,0,1,0,0,2.5,2.5,10,2.5,2,0,6,3.75,2.2962,1.8501,5.956,0.6083,3.4873,1.656,21.890925,1.4544,2.59425,84.8687,1.418,1.194,7.38585,13.104,0.050025,4.97115,3.52935,742.5893187,715.4240345,731.8008718,729.938075,13.67810933
75,0,0,0,0,1,0,12.5,20,5,60,2,0,5,1.25,3.0616,2.4668,0.7445,0.456225,9.590075,4.416,16.551675,1.4544,2.01775,34.22125,0.8508,19.9,4.10325,7.28,0.16675,3.86645,2.74505,718.5094291,617.4358687,653.4483706,663.1312228,51.22776958
100,0,0,1,0,0,0,2.5,5,40,60,4,0,6,2.5,3.0616,2.4668,5.956,0.456225,2.615475,2.208,5.33925,2.1816,2.8825,26.00815,2.2688,19.9,2.46195,7.28,0.0667,4.97115,0.7843,1050.041246,1051.202185,1094.221075,1065.154835,25.17879404
150,0,1,0,0,0,0,2.5,10,2.5,80,0.2,0.1,6,8.75,3.0616,0.6167,4.467,0.91245,3.4873,3.312,1.601775,0.3636,2.59425,26.00815,0.2836,8.358,4.9239,13.104,0.03335,2.485575,3.52935,1367.665305,1474.668009,1357.990617,1400.107977,64.75182371
100,1,0,0,0,0,0,17.5,5,20,5,4,0.1,7,2.5,3.0616,1.54175,0.7445,0.6083,3.4873,2.208,12.280275,0.3636,2.8825,84.8687,2.836,2.786,3.2826,4.368,0.1334,4.4188,0.39215,333.7055583,317.9474403,350.2249705,333.959323,16.14026135
50,0,1,0,0,0,0,10,10,20,5,1,0.1,5,5,9.5675,1.2334,1.489,0.152075,13.077375,3.312,1.601775,1.4544,2.8825,34.22125,1.9852,1.99,3.2826,4.368,0.150075,0.828525,0.7843,1031.999,880.6907026,883.6557916,932.1151646,86.51464212
75,0,0,1,0,0,0,5,5,2.5,80,0.4,0,9,8.75,3.0616,3.0835,5.2115,0.152075,6.9746,4.416,2.669625,2.5452,2.8825,62.9671,2.5524,2.786,4.10325,23.296,0.03335,3.037925,3.52935,991.2838542,746.0165604,830.4546201,855.9183449,124.6006112
175,0,1,0,0,0,0,7.5,10,20,5,0.3,0,9,1.25,1.72215,0.6167,5.2115,0.30415,6.9746,1.104,0.533925,2.9088,2.8825,34.22125,1.9852,3.582,7.38585,23.296,0.050025,3.86645,1.17645,1515.519582,1297.034957,1229.189207,1347.247916,149.6237842
125,1,0,0,0,0,0,10,10,20,0,0.5,0,5,3.75,3.0616,0.92505,5.2115,2.889425,9.590075,2.76,39.51045,0.3636,2.8825,26.00815,1.7016,0.398,7.38585,13.104,0.16675,4.694975,3.52935,315.6091349,311.5242888,326.8945469,318.0093235,7.961274243
50,0,1,0,0,0,0,10,2.5,2.5,60,0.4,0.1,5,1.25,0.95675,1.54175,3.7225,2.12905,2.615475,4.416,0.533925,2.5452,2.8825,46.5409,1.1344,14.726,1.6413,7.28,0.150075,3.86645,1.17645,1713.085538,1719.27427,1615.147899,1682.502569,58.41287329
150,0,0,0,1,0,0,5,2.5,10,60,0.4,0,10,2.5,9.5675,0.92505,2.978,0.30415,6.9746,0.552,0.533925,1.0908,2.59425,46.5409,0.8508,8.358,1.6413,40.768,0.1334,2.76175,1.96075,1721.054743,1734.850752,1686.210081,1714.038526,25.06789204
100,0,1,0,0,0,0,15,60,10,2.5,0.5,0.1,6,6.25,3.0616,0.6167,0.7445,0.152075,9.590075,4.416,2.669625,2.5452,2.59425,62.9671,2.5524,4.776,5.74455,23.296,0.116725,4.142625,0.7843,1265.628173,1194.523503,1161.064833,1207.07217,53.39920187
125,0,0,0,0,1,0,15,10,20,10,0.5,0.2,8,7.5,4.01835,1.54175,5.956,2.12905,1.74365,1.656,1.601775,2.9088,1.44125,26.00815,2.836,14.726,3.2826,30.576,0.050025,4.142625,3.52935,1735.001757,1698.662417,1605.141214,1679.601796,66.995676
150,0,0,1,0,0,0,2.5,2.5,2.5,10,0.3,0,7,10,7.175625,0.6167,5.2115,0.456225,17.4365,1.656,9.076725,2.9088,2.8825,62.9671,0.2836,3.582,5.74455,53.872,0.083375,0.828525,3.1372,1072.58385,936.1224695,837.9241604,948.8768265,117.8486217
125,0,0,0,0,0,1,5,2.5,20,5,0.5,0,7,5,7.175625,2.4668,5.2115,0.30415,6.9746,0.552,0.533925,0.3636,2.306,46.5409,1.418,19.9,7.38585,40.768,0.10005,2.485575,0.39215,2116.442577,2016.499223,2095.662578,2076.201459,52.73727206
50,0,0,0,0,0,1,12.5,2.5,2.5,20,2,0.1,1,2.5,3.0616,0.6167,1.489,1.2166,5.23095,4.416,39.51045,2.5452,2.8825,34.22125,1.9852,6.368,4.10325,53.872,0.10005,3.037925,0.39215,668.0805883,672.5717713,805.8780844,715.510148,78.29313905
